262560.0	0.2	0.6	0.2	0.5	0.5	0.9
252570.0	0.2	0.5	0.2	0.5	0.6	0.9
292640.0	0.2	0.9	0.2	0.6	0.3	0.9
272550.0	0.2	0.7	0.2	0.5	0.4	0.9
282740.0	0.2	0.8	0.2	0.7	0.3	0.9
272650.0	0.2	0.7	0.2	0.6	0.4	0.9
282550.0	0.2	0.8	0.2	0.5	0.4	0.9
252490.0	0.2	0.5	0.2	0.4	0.8	0.9
272560.0	0.2	0.7	0.2	0.5	0.5	0.9
282640.0	0.2	0.8	0.2	0.6	0.3	0.9
292740.0	0.2	0.9	0.2	0.7	0.3	0.9
262650.0	0.2	0.6	0.2	0.6	0.4	0.9
252480.0	0.2	0.5	0.2	0.4	0.7	0.9
242500.0	0.2	0.4	0.2	0.4	0.9	0.9
252580.0	0.2	0.5	0.2	0.5	0.7	0.9
252500.0	0.2	0.5	0.2	0.4	0.9	0.9
262570.0	0.2	0.6	0.2	0.5	0.6	0.9
272740.0	0.2	0.7	0.2	0.7	0.3	0.9
252560.0	0.2	0.5	0.2	0.5	0.5	0.9
292550.0	0.2	0.9	0.2	0.5	0.4	0.9
